id,TIN,NAME,RETUEN_TYPE,BUSINESS
1,5364511626,Upton Trenear,semper porta volutpat quam pede,Operative
2,5754722710,Edy Plumridege,blandit nam nulla integer pede,uniform
3,5905634475,Jennee Boorne,natoque penatibus et magnis dis,needs-based
4,9063993005,Shurlocke Meineking,in magna bibendum,encoding
5,1125906073,Madel Iannuzzi,amet sem fusce,encryption
6,1365197778,Joby Margaritelli,turpis sed ante,Phased
7,0422287334,Marion Twidle,ut massa quis,structure
8,0556888715,Fawn Jacobsohn,nulla tempus vivamus in felis,client-driven
9,9525851192,Meghann Roistone,luctus cum sociis natoque,migration
10,6113025683,Horatio Fleming,rutrum rutrum neque aenean auctor,foreground
11,6176285399,Lorilee Tolemache,luctus rutrum nulla tellus,scalable
12,9067570540,Latisha Bridge,tincidunt eu felis fusce,infrastructure
13,4379400840,Judy Buick,diam in magna bibendum imperdiet,approach
14,0729369528,Moe McIlory,duis bibendum felis sed interdum,clear-thinking
15,4849151264,Iosep Vasyanin,felis donec semper sapien a,Self-enabling
16,5826110376,Loreen Batha,semper porta volutpat,implementation
17,8187860405,Luci Coggan,luctus nec molestie,upward-trending
18,9871247087,Brigg Hackford,vehicula consequat morbi a,interactive
19,5483772318,Joannes Blaine,lorem quisque ut erat curabitur,Multi-lateral
20,3046966776,Catlaina Jenking,sed interdum venenatis turpis,bandwidth-monitored
21,3727916915,Emlynne Critchley,nec euismod scelerisque quam turpis,Vision-oriented
22,0361486170,Talbert Farriar,aenean fermentum donec ut,protocol
23,3489882040,Federica Cricket,erat vestibulum sed magna,multi-state
24,7032240593,Jayson Fosten,a ipsum integer a,superstructure
25,6058200199,Cristi Bolam,in hac habitasse,foreground
26,8650847773,Dallis Howood,sodales sed tincidunt,workforce
27,5713018385,Tammie Tarver,consequat morbi a,clear-thinking
28,3939264792,Kellina Tinner,scelerisque quam turpis,Profound
29,8971199938,Eleonora Ielden,lorem integer tincidunt,Compatible
30,2097227805,Jere Sutheran,viverra dapibus nulla suscipit,artificial intelligence
31,5446534700,Roley Lande,tellus in sagittis,website
32,1534182829,Shelly Tretter,at lorem integer tincidunt,initiative
33,0697854418,Lissy Athelstan,mauris morbi non lectus,Vision-oriented
34,1895474191,Em Dorset,vehicula consequat morbi a ipsum,executive
35,7955617592,Thorin Schohier,nibh in lectus,eco-centric
36,3548708978,Krishnah Handrock,aliquet maecenas leo odio condimentum,middleware
37,2889383067,Sukey Mibourne,erat curabitur gravida nisi,interface
38,9832445205,Hershel Ainsley,justo lacinia eget tincidunt eget,product
39,6422752210,Oswald Sigmund,hac habitasse platea dictumst maecenas,infrastructure
40,4808739747,Elroy Mingo,penatibus et magnis,software
41,1554186323,Lannie Gepheart,massa volutpat convallis morbi,process improvement
42,5168767885,Fredericka Barnett,dui luctus rutrum nulla tellus,Expanded
43,3957316081,Doralin Donnelly,diam in magna bibendum,internet solution
44,7115366179,Sean Beeck,ut odio cras mi pede,Synergistic
45,9033258234,Glenden Common,ut odio cras,empowering
46,9240034196,Boycey Shilstone,nisi nam ultrices libero non,context-sensitive
47,4050030950,Niko Juett,proin risus praesent lectus,Enterprise-wide
48,2656325897,Emmalynne Lukianov,amet diam in,Implemented
49,7279983278,Jobye Piotrowski,nec sem duis aliquam convallis,contingency
50,4248089254,Chery Clevely,mattis odio donec vitae nisi,benchmark
51,9794624004,Tarra Hurlestone,sed justo pellentesque viverra,Intuitive
52,0857715992,Fabe Carvil,eget orci vehicula condimentum,client-server
53,1369828217,Antonietta McHan,sagittis nam congue risus semper,neural-net
54,7270632847,Paulette Laffoley-Lane,donec pharetra magna vestibulum aliquet,Progressive
